ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Lineage_0,Lineage_1,Lineage_2,Lineage_3,Lineage_4,Lineage_5,Isolate,WALS_Area,Autotyp,Country,Ancient,Papuan,Altitude,Eastness,Ethnologue_Ethnic_Population,Adjusted_Population,Social_Region
1,Beja,Africa,18.0,36.0,beja1238,bej,Afro-Asiatic,Cushitic,,,,,false,Africa,North Africa,SD,false,false,538.0,56.0,186000,186000,Africa_SubSaharan
2,Tamazight,Africa,33.0,-4.0,cent2194,tzm,Afro-Asiatic,Berber,,,,,false,Africa,North Africa,MA,false,false,915.0,16.0,3150000,3150000,MiddleOldWorld
3,Riff,Africa,34.0,-4.0,tari1263,rif,Afro-Asiatic,Berber,,,,,false,Africa,North Africa,MA,false,false,1002.0,16.0,1500000,1500000,MiddleOldWorld
4,Kabyle,Africa,36.5,5.0,kaby1243,kab,Afro-Asiatic,Berber,,,,,false,Africa,North Africa,DZ,false,false,1025.0,25.0,3126000,3126000,MiddleOldWorld
5,Tashelhiyt,Africa,31.0,-5.0,tach1250,shi,Afro-Asiatic,Berber,,,,,false,Africa,North Africa,MA,false,false,858.0,15.0,3000000,3000000,MiddleOldWorld
6,Zenaga,Africa,16.5,-16.0,zena1248,zen,Afro-Asiatic,Berber,,,,,false,Africa,West Africa,MR,false,false,5.0,4.0,200,200,MiddleOldWorld
7,Buduma,Africa,13.6,14.0,budu1265,bdm,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,TD,false,false,294.0,34.0,51600,51600,Africa_SubSaharan
8,Ga'anda,Africa,10.33,12.58,gaan1243,gqa,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,NG,false,false,382.0,32.58,43000,43000,Africa_SubSaharan
9,Gude,Africa,10.05,14.3,gude1246,gde,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,CM,false,false,601.0,34.3,68000,68000,Africa_SubSaharan
10,Margi,Africa,11.0,13.0,marg1265,mrt,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,NG,false,false,420.0,33.0,158000,158000,Africa_SubSaharan
11,Mofu,Africa,10.5,14.0,mofu1248,mif,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,CM,false,false,514.0,34.0,60000,60000,Africa_SubSaharan
12,Musgu,Africa,11.0,15.0,musg1254,mug,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,CM,false,false,312.0,35.0,61500,61500,Africa_SubSaharan
13,Tera,Africa,11.0,11.83,tera1251,ttr,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,NG,false,false,454.0,31.83,101000,101000,Africa_SubSaharan
14,Awngi,Africa,10.83,36.67,awng1244,awn,Afro-Asiatic,Cushitic,,,,,false,Africa,Ethiopia,ET,false,false,2058.0,56.67,500000,500000,Africa_SubSaharan
15,Bilin,Africa,15.9,38.3,bili1260,byn,Afro-Asiatic,Cushitic,,,,,false,Africa,Ethiopia,ER,false,false,1532.0,58.3,91000,91000,MiddleOldWorld
16,Kemant,Africa,12.9,37.0,qima1242,ahg,Afro-Asiatic,Cushitic,,,,,false,Africa,Ethiopia,ET,false,false,2520.0,57.0,1650,1650,MiddleOldWorld
17,Kera,Africa,9.83,15.08,kera1255,ker,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,TD,false,false,327.0,35.08,44500,44500,Africa_SubSaharan
18,Lele,Africa,9.08,15.58,lele1276,lln,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,TD,false,false,456.0,35.58,26000,26000,Africa_SubSaharan
19,Oromo,Africa,9.0,37.0,east2652,hae,Afro-Asiatic,Cushitic,,,,,false,Africa,Ethiopia,ET,false,false,1394.0,57.0,4530000,4530000,Africa_SubSaharan
20,Rendille,Africa,2.0,37.5,rend1243,rel,Afro-Asiatic,Cushitic,,,,,false,Africa,Southern Africa,KE,false,false,554.0,57.5,34700,34700,Africa_SubSaharan
21,Somali,Africa,3.0,45.0,soma1255,som,Afro-Asiatic,Cushitic,,,,,false,Africa,Ethiopia,SO,false,false,113.0,65.0,8340000,8340000,Africa_SubSaharan
22,Coptic,Africa,29.0,31.0,copt1239,cop,Afro-Asiatic,Egyptian,,,,,false,Africa,North Africa,EG,false,false,115.0,51.0,0,292999,MiddleOldWorld
23,Dizi,Africa,6.17,36.5,dizi1235,mdx,Afro-Asiatic,Omotic,,,,,false,Africa,Ethiopia,ET,false,false,832.0,56.5,21100,21100,Africa_SubSaharan
24,Hamer,Africa,5.0,36.5,hame1242,amf,Afro-Asiatic,Omotic,,,,,false,Africa,Ethiopia,ET,false,false,965.0,56.5,42800,42800,Africa_SubSaharan
25,Ometo,Africa,6.6,37.75,wola1242,wal,Afro-Asiatic,Omotic,,,,,false,Africa,Ethiopia,ET,false,false,1869.0,57.75,1230000,1230000,Africa_SubSaharan
26,Zayse,Africa,5.8,37.3,zays1235,zay,Afro-Asiatic,Omotic,,,,,false,Africa,Ethiopia,ET,false,false,1920.0,57.3,17000,17000,Africa_SubSaharan
27,Amharic,Africa,10.0,38.0,amha1245,amh,Afro-Asiatic,Semitic,,,,,false,Africa,Ethiopia,ET,false,false,1532.0,58.0,17400000,17400000,Africa_SubSaharan
28,Arabic_Egyptian,Africa,30.0,30.0,egyp1253,arz,Afro-Asiatic,Semitic,,,,,false,Africa,North Africa,EG,false,false,167.0,50.0,52500000,52500000,MiddleOldWorld
29,Arabic_Gulf,Eurasia,24.0,54.0,gulf1241,afb,Afro-Asiatic,Semitic,,,,,false,Africa,Middle East,AE,false,false,156.0,74.0,3599000,3599000,MiddleOldWorld
30,Arabic,Eurasia,33.0,44.0,stan1318,arb,Afro-Asiatic,Semitic,,,,,false,Africa,Middle East,SA,false,false,847.0,64.0,105500000,105500000,MiddleOldWorld
31,Arabic_Moroccan,Africa,34.0,-7.0,moro1292,ary,Afro-Asiatic,Semitic,,,,,false,Africa,North Africa,MA,false,false,0.0,13.0,18800000,18800000,MiddleOldWorld
32,Arabic_Syrian,Eurasia,33.0,37.0,nort3139,apc,Afro-Asiatic,Semitic,,,,,false,Africa,Middle East,SY,false,false,688.0,57.0,14426540,14426540,MiddleOldWorld
33,Arabic_Tunisian,Africa,36.0,10.0,tuni1259,aeb,Afro-Asiatic,Semitic,,,,,false,Africa,North Africa,TN,false,false,17.0,30.0,9406900,9406900,MiddleOldWorld
34,Chaha,Africa,8.2,38.0,seba1251,sgw,Afro-Asiatic,Semitic,,,,,false,Africa,Ethiopia,ET,false,false,2142.0,58.0,2320000,2320000,Africa_SubSaharan
35,Hebrew,Eurasia,31.75,35.17,hebr1245,heb,Afro-Asiatic,Semitic,,,,,false,Africa,Middle East,IL,false,false,254.0,55.17,5316700,5316700,MiddleOldWorld
36,Tigré,Africa,16.5,38.5,tigr1270,tig,Afro-Asiatic,Semitic,,,,,false,Africa,Ethiopia,ER,false,false,1354.0,58.5,1050000,1050000,MiddleOldWorld
37,Tigrinya,Africa,14.5,38.5,tigr1271,tir,Afro-Asiatic,Semitic,,,,,false,Africa,Ethiopia,ET,false,false,1779.0,58.5,5791710,5791710,MiddleOldWorld
38,Iraqw,Africa,-3.5,35.0,iraq1241,irk,Afro-Asiatic,Cushitic,,,,,false,Africa,Southern Africa,TZ,false,false,2248.0,55.0,462000,462000,Africa_SubSaharan
39,Angas,Africa,9.75,8.75,ngas1240,anc,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,NG,false,false,751.0,28.75,400000,400000,Africa_SubSaharan
40,Goemai,Africa,8.67,9.75,goem1240,ank,Nilo-Saharan,Central_Sudanic,,,,,false,Africa,West Africa,NG,false,false,185.0,29.75,200000,200000,Africa_SubSaharan
41,Hausa,Africa,12.0,7.0,haus1257,hau,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,NG,false,false,544.0,27.0,24988000,24988000,Africa_SubSaharan
42,Kanakuru,Africa,10.0,12.0,dera1248,kna,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,NG,false,false,186.0,32.0,20000,20000,Africa_SubSaharan
43,Miya,Africa,11.0,10.0,miya1266,mkf,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,NG,false,false,497.0,30.0,30000,30000,Africa_SubSaharan
44,Ngizim,Africa,12.08,10.92,ngiz1242,ngi,Afro-Asiatic,Chadic,,,,,false,Africa,West Africa,NG,false,false,363.0,30.92,80000,80000,Africa_SubSaharan
45,Pa'a,Africa,11.0,9.25,paaa1242,pqa,Nilo-Saharan,Central_Sudanic,,,,,false,Africa,West Africa,NG,false,false,644.0,29.25,8000,8000,Africa_SubSaharan
46,Pero,Africa,9.58,11.0,pero1241,pip,Nilo-Saharan,Central_Sudanic,,,,,false,Africa,West Africa,NG,false,false,321.0,31.0,25000,25000,Africa_SubSaharan
47,Ainu,Eurasia,43.5,142.0,ainu1240,ain,Ainu,,,,,,true,Eurasia,North Pacific,JP,false,false,175.0,162.0,15000,15000,NthEurasia_Circumpolar
48,Qawésqar,South America,-50.0,-75.0,qawa1238,alc,Alaculufan,,,,,,true,South America,Patagonia,CL,false,false,428.0,305.0,2622,2622,America_South_Southern
49,Blackfoot,North America,50.0,-112.67,siks1238,bla,Algic,Algonquian,,,,,false,North America,Western North America,CA,false,false,840.0,267.33,4500,4500,Americas_North_West
50,Cree_Woods,North America,58.0,-102.0,wood1236,cwd,Algic,Algonquian,,,,,false,North America,Eastern North America,CA,false,false,378.0,278.0,12620,12620,Americas_North_West
51,Cree_Plains,North America,54.0,-116.0,plai1258,crk,Algic,Algonquian,,,,,false,North America,Western North America,CA,false,false,672.0,264.0,34100,34100,Americas_North_West
52,Massachusetts,North America,42.5,-71.0,wamp1249,wam,Algic,Algonquian,,,,,false,North America,Eastern North America,US,false,false,57.0,309.0,0,3749,Americas_North_West
53,Menominee,North America,45.5,-88.33,meno1252,mez,Algic,Algonquian,,,,,false,North America,Eastern North America,US,false,false,376.0,291.67,799,799,Americas_North_West
54,Montagnais,North America,52.0,-65.0,mont1268,moe,Algic,Algonquian,,,,,false,North America,Eastern North America,CA,false,false,0.0,315.0,8480,8480,Americas_North_West
55,Ojibwe,North America,47.67,-92.5,east2542,ojg,Algic,Algonquian,,,,,false,North America,Eastern North America,CA,false,false,219.0,287.5,25900,25900,Americas_North_West
56,Passamaquoddy-Maliseet,North America,45.0,-67.0,male1292,pqm,Algic,Algonquian,,,,,false,North America,Eastern North America,US,false,false,0.0,313.0,2060,2060,Americas_North_West
57,Wiyot,North America,40.83,-124.17,wiyo1248,wiy,Algic,Wiyot,,,,,false,North America,California,US,false,false,1.0,255.83,450,450,Americas_North_West
58,Yurok,North America,41.33,-124.0,yuro1248,yur,Algic,Yurok,,,,,false,North America,California,US,false,false,189.0,256.0,3000,3000,Americas_North_West
59,Buryat,Eurasia,52.0,108.0,mong1330,bxm,Mongolic,Eastern,,,,,false,Eurasia,Northern Eurasia,RU,false,false,667.0,128.0,445175,445175,MiddleOldWorld
60,Dagur,Eurasia,48.0,124.0,daur1238,dta,Mongolic,Eastern,,,,,false,Eurasia,Northern Eurasia,CN,false,false,167.0,144.0,96100,96100,MiddleOldWorld
61,Kalmyk,Eurasia,45.0,47.0,kalm1243,xal,Mongolic,Eastern,,,,,false,Eurasia,Middle East,RU,false,false,2741.0,67.0,499000,499000,MiddleOldWorld
62,Khalkha,Eurasia,47.0,105.0,halh1238,khk,Mongolic,Eastern,,,,,false,Eurasia,Northern Eurasia,MN,false,false,1459.0,125.0,2341240,2341240,MiddleOldWorld
63,Mongguor,Eurasia,36.0,102.0,tuuu1240,mjg,Mongolic,Eastern,,,,,false,Eurasia,Northern Eurasia,CN,false,false,1999.0,122.0,152000,152000,MiddleOldWorld
64,Moghol,Eurasia,35.0,62.0,mogh1245,mhj,Mongolic,Western,,,,,false,Eurasia,Northern Eurasia,AF,false,false,846.0,82.0,3000,3000,MiddleOldWorld
65,Mongolian,Eurasia,50.0,105.0,mong1331,mon,Mongolic,Eastern,,,,,false,Eurasia,Northern Eurasia,MN,false,false,577.0,125.0,66032,66032,MiddleOldWorld
66,Ordos,Eurasia,39.0,109.0,peri1253,mvf,Mongolic,Eastern,,,,,false,Eurasia,Northern Eurasia,CN,false,false,1332.0,129.0,123000,123000,MiddleOldWorld
67,Even,Eurasia,68.0,130.0,even1260,eve,Tungusic,North,,,,,false,Eurasia,Northern Eurasia,RU,false,false,0.0,150.0,7170,7170,NthEurasia_Circumpolar
68,Evenki,Eurasia,56.0,125.0,even1259,evn,Tungusic,North,,,,,false,Eurasia,Northern Eurasia,RU,false,false,874.0,145.0,19000,19000,NthEurasia_Circumpolar
69,Manchu,Eurasia,45.0,125.0,manc1252,mnc,Tungusic,South,South-west,,,,false,Eurasia,Northern Eurasia,CN,false,false,240.0,145.0,60,2779,MiddleOldWorld
70,Nanai,Eurasia,49.5,137.0,nana1257,gld,Tungusic,South,South-east,,,,false,Eurasia,North Pacific,RU,false,false,74.0,157.0,3902,3902,NthEurasia_Circumpolar
71,Orok,Eurasia,49.5,143.5,orok1265,oaa,Tungusic,South,South-east,,,,false,Eurasia,North Pacific,RU,false,false,29.0,163.5,346,346,NthEurasia_Circumpolar
72,Udihe,Eurasia,47.667,136.25,udih1248,ude,Tungusic,South,South-east,,,,false,Eurasia,North Pacific,RU,false,false,192.0,156.25,1657,1657,MiddleOldWorld
73,Azeri,Eurasia,40.67,47.75,sout2697,azb,Turkic,South-west,West,,,,false,Eurasia,Middle East,AZ,false,false,1673.0,67.75,11200000,11200000,MiddleOldWorld
74,Azerbaijani,Eurasia,40.5,48.5,nort2697,azj,Turkic,South-west,West,,,,false,Eurasia,Middle East,AZ,false,false,80.0,68.5,6100000,6100000,MiddleOldWorld
75,Bashkir,Eurasia,53.0,58.0,bash1264,bak,Turkic,North-west,North,,,,false,Eurasia,Northern Eurasia,RU,false,false,609.0,78.0,1451340,1451340,MiddleOldWorld
76,Chuvash,Eurasia,55.5,47.5,chuv1255,chv,Turkic,Oghur,,,,,false,Eurasia,Northern Eurasia,RU,false,false,192.0,67.5,1674240,1674240,MiddleOldWorld
77,Turkish_Crimean,Eurasia,45.0,34.083,crim1257,crh,Turkic,North-west,West,,,,false,Eurasia,Northern Eurasia,UA,false,false,253.0,54.083,483990,483990,NthEurasia_Circumpolar
78,Karachay-Balkar,Eurasia,44.0,42.0,kara1465,krc,Turkic,North-west,West,,,,false,Eurasia,Middle East,RU,false,false,2411.0,62.0,113710,113710,MiddleOldWorld
79,Karakalpak,Eurasia,43.0,60.0,kara1467,kaa,Turkic,North-west,South,,,,false,Eurasia,Northern Eurasia,UZ,false,false,61.0,80.0,407000,407000,MiddleOldWorld
80,Khakas,Eurasia,53.0,90.0,khak1248,kjh,Turkic,North-east,South,,,,false,Eurasia,Northern Eurasia,RU,false,false,703.0,110.0,20010,20010,MiddleOldWorld
81,Khalaj,Eurasia,35.0,50.0,turk1303,klj,Turkic,South-west,,,,,false,Eurasia,Middle East,IR,false,false,1530.0,70.0,42100,42100,MiddleOldWorld
82,Kirghiz,Eurasia,42.0,75.0,kirg1245,kir,Turkic,North-west,South,,,,false,Eurasia,Northern Eurasia,KG,false,false,2272.0,95.0,2893354,2893354,MiddleOldWorld
83,Tatar,Eurasia,56.0,49.5,tata1255,tat,Turkic,North-west,,,,,false,Eurasia,Northern Eurasia,RU,false,false,69.0,69.5,6496600,6496600,MiddleOldWorld
84,Turkish,Eurasia,39.0,35.0,nucl1301,tur,Turkic,South-west,West,,,,false,Eurasia,Middle East,TR,false,false,1000.0,55.0,50750120,50750120,MiddleOldWorld
85,Turkmen,Eurasia,40.0,58.0,turk1304,tuk,Turkic,South-west,West,,,,false,Eurasia,Northern Eurasia,TM,false,false,74.0,78.0,3465000,3465000,MiddleOldWorld
86,Tuva,Eurasia,52.0,95.0,tuvi1240,tyv,Turkic,North-east,South,,,,false,Eurasia,Northern Eurasia,RU,false,false,1544.0,112.0,264400,264400,MiddleOldWorld
87,Uighur,Eurasia,40.0,80.0,uigh1240,uig,Turkic,South-east,East,,,,false,Eurasia,Northern Eurasia,CN,false,false,1061.0,100.0,8788690,8788690,MiddleOldWorld
88,Uzbek,Eurasia,39.0,66.0,nort2690,uzn,Turkic,South-east,West,,,,false,Eurasia,Northern Eurasia,UZ,false,false,445.0,86.0,18817600,18817600,MiddleOldWorld
89,Yakut,Eurasia,62.0,130.0,yaku1245,sah,Turkic,North-east,North,,,,false,Eurasia,Northern Eurasia,RU,false,false,0.0,150.0,363000,363000,NthEurasia_Circumpolar
90,Jarawa,Eurasia,11.167,92.5,jara1245,anq,Andaman,,,,,,false,SE Asia & Oceania,Southeast Asia,IN,false,false,0.0,112.5,250,250,SEAsiaInsularPacific
91,Onge,Eurasia,10.75,92.5,onge1236,oon,Andaman,,,,,,false,SE Asia & Oceania,Southeast Asia,IN,false,false,0.0,112.5,110,110,SEAsiaInsularPacific
92,Andoké,South America,0.0,-72.0,ando1256,ano,Andoké,,,,,,true,South America,Amazon,CO,false,false,160.0,308.0,10000,10000,Americas_East
93,Anem,Papunesia,-5.667,149.0,anem1249,anz,Anem,,,,,,true,Australia-New Guinea,North New Guinea,PG,false,true,234.0,169.0,550,550,Aust_NG_Mel
94,Jarawara,South America,-8.0,-67.0,jaru1257,jap,Arawá,,,,,,false,South America,Amazon,BR,false,false,110.0,313.0,480,480,Americas_East
95,Paumarí,South America,-7.0,-64.5,paum1247,pad,Arawá,,,,,,false,South America,Amazon,BR,false,false,76.0,315.5,870,870,Americas_East
96,Mapudungun,South America,-36.0,-72.0,mapu1245,arn,Araucanian,,,,,,true,South America,Andes,CL,false,false,327.0,308.0,300039,300039,America_South_Southern
97,Amuesha,South America,-10.0,-73.0,yane1238,ame,Arawak,South-Southwest,Amuesha,,,,false,South America,Amazon,PE,false,false,2003.0,307.0,9830,9830,Americas_East
98,Apurinã,South America,-9.0,-67.0,apur1254,apu,Arawak,South-Southwest,South-Western,,,,false,South America,Amazon,BR,false,false,171.0,313.0,4087,4087,Americas_East
99,Arawak,South America,-8.0,-37.3,araw1276,arw,Arawak,North,Caribbean,,,,false,South America,Amazon,BR,false,false,24.0,342.7,2450,2450,Americas_East
100,Barí,South America,9.0,-73.5,bari1297,mot,Chibchan,East,Colombian,,,,false,South America,Amazon,VE,false,false,98.0,306.5,5390,5390,Americas_CentralExtend
101,Baure,South America,-15.0,-64.0,baur1253,brg,Arawak,South-Southwest,South,,,,false,South America,Amazon,BO,false,false,136.0,316.0,631,631,Americas_East
102,Campa,South America,-12.0,-74.0,asha1243,cni,Arawak,South-Southwest,Campa,,,,false,South America,Andes,PE,false,false,422.0,306.0,4000,4000,Americas_East
103,Garifuna,North America,15.85,-85.0,gari1256,cab,Arawak,North,Caribbean,,,,false,South America,Central America,HN,false,false,0.0,295.0,195800,195800,Americas_East
104,Guajira,South America,12.0,-72.0,wayu1243,guc,Arawak,North,TA,,,,false,South America,Amazon,CO,false,false,42.0,308.0,305000,305000,Americas_CentralExtend
105,Ignaciano,South America,-12.5,-65.5,igna1246,ign,Arawak,South-Southwest,South,,,,false,South America,Amazon,BO,false,false,161.0,314.5,4500,4500,Americas_East
106,Iranxe,South America,-13.0,-58.0,iran1263,irn,Arawak,South,,,,,false,South America,Amazon,BR,false,false,417.0,322.0,326,326,Americas_East
107,Matsigenka,South America,-12.0,-70.4,mach1267,mcb,Arawak,South-Southwest,Campa,,,,false,South America,Amazon,PE,false,false,1300.0,309.6,10100,10100,Americas_East
108,Palikúr,South America,3.0,-51.0,pali1279,plu,Arawak,East,,,,,false,South America,Amazon,BR,false,false,17.0,329.0,1420,1420,Americas_East
109,Resigaro,South America,-2.5,-71.25,resi1247,rgr,Arawak,North,Colombian,,,,false,South America,Amazon,PE,false,false,118.0,308.75,14,949,Americas_East
110,Tariana,South America,0.3,-69.7,tari1256,tae,Arawak,North,RioNegro,,,,false,South America,Amazon,BR,false,false,140.0,310.3,430,430,Americas_East
111,Warekana,South America,2.0,-65.0,guar1293,gae,Arawak,North,RioNegro,,,,false,South America,Amazon,VE,false,false,123.0,315.0,160,160,Americas_East
112,Anindilyagwa,Australia,-14.0,136.5,anin1240,aoi,Anindilyagwa,,,,,,true,Australia-New Guinea,Northern Australia,AU,false,false,0.0,156.5,1240,1240,Aust_NG_Mel
113,Pungupungu,Australia,-13.5,130.417,wadj1254,wdj,Western Daly,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,150.417,12,199,Aust_NG_Mel
114,Bunuba,Australia,-17.75,125.75,buna1275,bck,Bunuban,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,233.0,145.75,160,199,Aust_NG_Mel
115,Gooniyandi,Australia,-18.667,126.25,goon1238,gni,Bunuban,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,260.0,146.25,100,199,Aust_NG_Mel
116,Burarra,Australia,-12.25,134.667,bura1267,bvr,Maningrida,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,22.5,154.667,700,700,Aust_NG_Mel
117,Gurr-goni,Australia,-12.25,134.417,gura1252,gge,Maningrida,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,154.417,20,199,Aust_NG_Mel
118,Miriwung,Australia,-15.667,129.0,miri1266,mep,Jarrakan,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,149.0,110,199,Aust_NG_Mel
119,Kamu,Australia,-13.583,130.833,kamu1258,xmu,East Daly,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,120.0,150.833,0,199,Aust_NG_Mel
120,Matngele,Australia,-13.833,130.417,madn1237,zml,East Daly,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,20.0,150.417,15,199,Aust_NG_Mel
121,Gaagudju,Australia,-12.583,132.833,gaga1251,gbu,Gaagudju,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,152.833,6,199,Aust_NG_Mel
122,Garawa,Australia,-17.25,137.667,garr1260,gbc,Wanyi-Garrwa,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,218.0,157.667,110,199,Aust_NG_Mel
123,Bininj Gun-Wok,Australia,-12.5,133.75,gunw1252,gup,Gunwinyku,Marne,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,220.0,153.75,1410,1410,Aust_NG_Mel
124,Dalabon,Australia,-14.25,134.0,ngal1292,ngk,Gunwinyku,Marne,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,133.0,154.0,20,199,Aust_NG_Mel
125,Iwaidja,Australia,-11.5,132.667,iwai1244,ibd,Iwaidjan,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,152.667,150,199,Aust_NG_Mel
126,Maung,Australia,-11.917,133.5,maun1240,mph,Iwaidjan,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,153.5,240,240,Aust_NG_Mel
127,Jaminjung,Australia,-15.083,130.5,djam1255,djd,Mirndi,West,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,299.0,150.5,30,199,Aust_NG_Mel
128,Laragia,Australia,-12.667,130.833,lara1258,lrg,Darwin,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,150.833,0,199,Aust_NG_Mel
129,Limilngan,Australia,-12.5,131.917,nucl1327,lmc,Darwin,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,25.0,151.917,0,199,Aust_NG_Mel
130,Manggarayi,Australia,-14.667,133.5,mang1381,mpc,Gunwinyku,Mang,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,103.0,153.5,50,199,Aust_NG_Mel
131,Alawa,Australia,-15.75,134.333,alaw1244,alh,Mara-Warndarang-Alawa,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,64.0,154.333,18,199,Aust_NG_Mel
132,Mara,Australia,-14.833,135.0,mara1385,mec,Mara-Warndarang-Alawa,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,27.0,155.0,15,199,Aust_NG_Mel
133,Warndarang,Australia,-14.417,135.583,wand1263,wnd,Mara-Warndarang-Alawa,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,12.0,155.583,0,199,Aust_NG_Mel
134,Murinbata,Australia,-14.667,129.667,murr1258,mwf,Southern Daly,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,149.667,1430,1430,Aust_NG_Mel
135,Nakkara,Australia,-12.117,134.417,naka1260,nck,Maningrida,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,154.417,75,199,Aust_NG_Mel
136,Ndjébbana,Australia,-12.167,134.117,djee1236,djj,Maningrida,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,154.117,100,199,Aust_NG_Mel
137,Ngalakgan,Australia,-14.5,134.833,ngal1293,nig,Gunwinyku,Bak,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,193.0,154.833,0,199,Aust_NG_Mel
138,Ngandi,Australia,-13.833,135.0,ngan1295,nid,Gunwinyku,Bak,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,108.0,155.0,0,199,Aust_NG_Mel
139,MalakMalak,Australia,-13.417,130.417,mull1237,mpb,Northern Daly,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,150.417,9,199,Aust_NG_Mel
140,Tyeraity,Australia,-13.0,130.333,tyar1236,woa,Northern Daly,,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,150.333,10,199,Aust_NG_Mel
141,Nunggubuyu,Australia,-13.75,135.667,nung1290,nuy,Gunwinyku,Bak,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,155.667,360,360,Aust_NG_Mel
142,Nyigina,Australia,-18.0,124.333,nyig1240,nyh,Nyulnyul,East,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,45.0,144.333,50,199,Aust_NG_Mel
143,Nyulnyul,Australia,-17.0,123.0,nyul1247,nyv,Nyulnyul,West,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,54.0,143.0,0,199,Aust_NG_Mel
144,Warrwa,Australia,-17.5,123.5,warr1258,wwr,Nyulnyul,East,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,5.0,143.5,0,199,Aust_NG_Mel
145,Yawuru,Australia,-18.0,122.5,yawu1244,ywr,Nyulnyul,East,,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,5.0,142.5,30,199,Aust_NG_Mel
146,Adynyamathanha,Australia,-30.5,139.5,adny1235,adt,Pama-Nyungan,Yura,,,,,false,Australia-New Guinea,Australia,AU,false,false,54.0,159.5,130,199,Aust_NG_Mel
147,Alyawarr,Australia,-24.0,134.5,alya1239,aly,Pama-Nyungan,Arandic,,,,,false,Australia-New Guinea,Australia,AU,false,false,497.0,154.5,1450,1450,Aust_NG_Mel
148,Anguthimri,Australia,-12.333,141.833,,xxx,Pama-Nyungan,North Cape York,Northern Paman,,,,false,Australia-New Guinea,Northern Australia,AU,false,false,0.0,161.833,0,199,Aust_NG_Mel
149,Arabana,Australia,-28.0,137.0,arab1267,ard,Pama-Nyungan,Karnic,,,,,false,Australia-New Guinea,Australia,AU,false,false,37.0,157.0,0,199,Aust_NG_Mel
150,Arrernte_Mparntwe,Australia,-24.0,136.0,east2379,aer,Pama-Nyungan,Arandic,,,,,false,Australia-New Guinea,Australia,AU,false,false,260.0,156.0,3820,3820,Aust_NG_Mel
151,Arrernte_Central,Australia,-23.0,134.5,west2441,are,Pama-Nyungan,Arandic,,,,,false,Australia-New Guinea,Australia,AU,false,false,837.0,154.5,1000,1000,Aust_NG_Mel
152,Badimaya,Australia,-27.667,118.0,badi1246,bia,Pama-Nyungan,Kardu,,,,,false,Australia-New Guinea,Australia,AU,false,false,415.0,138.0,20,199,Aust_NG_Mel
